# Eb Ec yield error
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 7.000000000000000000e+00 1.499999999999999944e-01 7.071067811865576827e-03
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 5.000000000000000000e+00 3.051335559265442310e-01 8.891579688270168438e-03
5.000000000000000000e+00 7.000000000000000000e+00 7.578213689482470317e-01 1.330766913132940335e-02
5.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 3.000000000000000000e+00 1.175542570951585986e-01 3.271261620347862970e-02
5.500000000000000000e+00 5.000000000000000000e+00 6.899999999999999467e-01 1.414213562373213377e-02
5.500000000000000000e+00 7.000000000000000000e+00 8.974999999999999645e-01 4.330127018929967424e-03
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 3.000000000000000000e+00 4.657740497143479930e-01 4.698222588703362262e-03
6.000000000000000000e+00 5.000000000000000000e+00 8.317301829693859450e-01 6.678633141353374110e-03
6.000000000000000000e+00 7.000000000000000000e+00 9.440732250568366624e-01 3.821340237258910328e-03
6.500000000000000000e+00 0.000000000000000000e+00 1.430818533401565507e-01 1.470668256560750224e-02
6.500000000000000000e+00 1.000000000000000000e+00 1.807396066024748449e-01 2.578532503161907671e-02
6.500000000000000000e+00 3.000000000000000000e+00 6.603800172145362080e-01 1.021024290851400666e-02
6.500000000000000000e+00 5.000000000000000000e+00 8.749308905878414588e-01 1.292504250080381972e-02
6.500000000000000000e+00 7.000000000000000000e+00 9.592209846121766414e-01 1.645505986482549352e-02
7.000000000000000000e+00 0.000000000000000000e+00 6.239090381692456999e-01 1.627497047501912444e-02
7.000000000000000000e+00 1.000000000000000000e+00 6.159246868724442825e-01 2.500226494615755482e-02
7.000000000000000000e+00 3.000000000000000000e+00 8.017072193937571090e-01 2.289438924207477105e-02
7.000000000000000000e+00 5.000000000000000000e+00 9.287641199100935552e-01 2.900218858169964845e-02
7.000000000000000000e+00 7.000000000000000000e+00 9.120621203406237276e-01 3.606345891075560077e-03
7.500000000000000000e+00 0.000000000000000000e+00 7.870463017858884136e-01 2.332084416836687976e-02
7.500000000000000000e+00 1.000000000000000000e+00 7.220364874126465882e-01 5.390795219993060883e-02
7.500000000000000000e+00 3.000000000000000000e+00 6.208314363424141114e-01 4.953296551501824851e-02
7.500000000000000000e+00 5.000000000000000000e+00 5.900064786798474570e-01 6.450218872926198610e-02
7.500000000000000000e+00 7.000000000000000000e+00 5.344602110809740791e-01 5.518202858548815898e-02
8.000000000000000000e+00 0.000000000000000000e+00 9.553613501463339985e-02 2.653677148172596534e-02
8.000000000000000000e+00 1.000000000000000000e+00 1.700322796974829409e-01 3.271411361982921873e-02
8.000000000000000000e+00 3.000000000000000000e+00 1.372582118389097938e-01 8.286248940570515101e-03
8.000000000000000000e+00 5.000000000000000000e+00 1.136786437281736839e-01 3.023090390169896891e-02
8.000000000000000000e+00 7.000000000000000000e+00 1.059166942579567727e-01 3.673160380197893621e-02
